TFBS_chr	TFBS_start	TFBS_end	TFBS_strand	TFBS_score	98JKPD8_LumA_score	ANAB5F7_Basal_score	S6R691V_Her2_score	PU24GB8_LumB_score	2GAMBDQ_Normal-like_score
chr1	80634019	80634029	+	8.70569	0.0104	0.0182	0.0168	0.01387	0.01324
chr1	83583520	83583530	-	8.29113	0.02474	0.02107	0.01232	0.02174	0.02084
chr1	85132657	85132667	-	8.70569	0.01901	0.01759	0.02294	0.02528	0.02205
chr1	85975908	85975918	+	8.03146	0.0134	0.03731	0.02401	0.01906	0.0271
chr1	86215655	86215665	+	7.99866	0.02664	0.02554	0.03666	0.02682	0.05009
chr1	89242407	89242417	-	8.8018	0.02306	0.00994	0.01395	0.01478	0.01973
chr1	90063153	90063163	-	8.16037	0.01029	0.02955	0.01371	0.01377	0.01539
chr1	91092499	91092509	+	8.70569	0.21044	0.11274	0.15176	0.24117	0.16011
chr1	92483680	92483690	+	7.38191	0.043	0.07155	0.05698	0.05823	0.03927
chr1	94045971	94045981	-	7.47664	0.0989	0.0886	0.08022	0.10041	0.06814
chr1	95233619	95233629	+	7.70952	0.17664	0.15424	0.13235	0.14439	0.12987
chr1	97921160	97921170	-	8.56029	0.41152	0.42835	0.46425	0.36251	0.47795
chr1	98661523	98661533	-	8.97485	0.44156	0.43819	0.28601	0.28545	0.59323
chr1	104172728	104172738	+	7.46801	0.01584	0.00866	0.0146	0.0217	0.02261
chr1	107964350	107964360	-	7.86975	0.12896	0.08058	0.08533	0.10974	0.09385
chr1	109257887	109257897	-	7.38191	0.0378	0.07214	0.03176	0.04298	0.03757
chr1	110070589	110070599	+	7.38191	0.01996	0.03422	0.01901	0.02076	0.02262
chr1	110150515	110150525	+	7.5636	0.115	0.14191	0.04821	0.04666	0.05098
chr1	110210064	110210074	+	8.56029	0.2539	0.64881	0.37816	0.36303	0.39738
chr1	110339814	110339824	+	9.57162	0.43503	0.48094	0.35843	0.37273	0.33273
chr1	111715313	111715323	-	8.06478	0.01938	0.02835	0.02422	0.01819	0.02105
chr1	114154021	114154031	+	8.29113	0.02452	0.02187	0.01837	0.01893	0.02931
chr1	115782173	115782183	-	7.84977	0.02364	0.01023	0.0314	0.01653	0.01834
chr1	116906919	116906929	+	8.8018	0.01554	0.03205	0.02526	0.01997	0.02525
chr1	119171570	119171580	-	7.6497	0.01432	0.01103	0.01854	0.01409	0.01966
chr1	119411046	119411056	-	9.71187	0.009	0.06893	0.00652	0.00646	0.01299
chr1	120723810	120723820	+	8.11756	1.01133	1.00318	0.60926	0.71254	0.79707
chr1	143497114	143497124	-	7.93587	0	0	0	0	0
chr1	144883884	144883894	+	8.61959	0.26897	0.22019	0.25843	0.26212	0.20545
chr1	145156661	145156671	+	9.57162	0.01532	0.02339	0.02711	0.01658	0.01935
chr1	146139537	146139547	+	7.38191	0.04413	0.02677	0.02757	0.03044	0.02964
chr1	146938350	146938360	+	8.38672	1.03556	0.95855	0.69318	0.85146	0.85512
chr1	146966566	146966576	-	9.65858	0.06586	0.03681	0.02641	0.03945	0.04602
chr1	146972853	146972863	-	9.65858	0.02458	0.02338	0.01568	0.0233	0.02397
chr1	147786442	147786452	+	8.61959	0.00907	0.0069	0.00691	0.00844	0.0115
chr1	148160735	148160745	-	7.46801	0.02134	0.01206	0.01764	0.02515	0.02463
chr1	148458855	148458865	-	7.40189	0.28239	0.36228	0.32703	0.21004	0.35843
chr1	149390850	149390860	-	8.06478	0.51046	0.40545	0.27797	0.37382	0.35637
chr1	149646910	149646920	-	7.38054	0.1442	0.23786	0.10672	0.08525	0.16047
chr1	149812326	149812336	+	8.03146	0.46561	0.44272	0.30118	0.34253	0.36378
chr1	150548978	150548988	-	8.22501	0.37285	0.40542	0.33935	0.38433	0.36039
chr1	150552110	150552120	-	8.61959	0.11592	0.11749	0.10671	0.09867	0.11602
chr1	151290164	151290174	-	7.46801	0.08255	0.10104	0.10707	0.10356	0.05586
chr1	151838328	151838338	-	7.46801	0.0997	0.07564	0.0878	0.10442	0.08764
chr1	152107774	152107784	+	8.15174	0.01594	0.06369	0.01457	0.01602	0.01746
chr1	153292910	153292920	-	8.20366	0.01914	0.05986	0.01879	0.02096	0.019
chr1	153633999	153634009	+	7.47664	4.02106	4.08494	3.20797	3.46247	3.76472
chr1	154532422	154532432	+	7.6497	0.03174	0.01983	0.02767	0.02008	0.03007
chr1	155688443	155688453	-	7.38054	0.33679	0.36851	0.28636	0.28994	0.35193
chr1	155872166	155872176	+	8.29113	0.02212	0.02185	0.01806	0.02226	0.02458
chr1	155874139	155874149	-	8.8018	0.0179	0.03106	0.02831	0.0236	0.02239
chr1	155911160	155911170	-	8.97485	0.23665	0.29227	0.17894	0.19465	0.15513
chr1	156108746	156108756	+	8.88738	0.05246	0.0714	0.04099	0.06345	0.04335
chr1	156232431	156232441	+	8.29113	0.01976	0.0266	0.03262	0.02267	0.01817
chr1	156246102	156246112	+	7.46801	0.08989	0.13867	0.09523	0.09134	0.12006
chr1	156705662	156705672	-	7.46801	0.43939	0.35281	0.31826	0.39626	0.38344
chr1	158496338	158496348	+	8.97485	0.01526	0.00718	0.00631	0.00887	0.00967
chr1	159868303	159868313	+	7.89121	0.04403	0.03458	0.02921	0.03238	0.04128
chr1	160741427	160741437	+	8.11756	0.02239	0.0404	0.04864	0.02993	0.02414
chr1	160744792	160744802	-	7.70952	0.01299	0.02121	0.03092	0.02037	0.01331
chr1	161440499	161440509	+	8.70569	0	0	0	0	0
chr1	161914526	161914536	-	8.20503	0.01632	0.02123	0.0134	0.01962	0.0178
chr1	162371813	162371823	+	7.38106	0.0336	0.07285	0.02894	0.02418	0.03026
chr1	163759162	163759172	-	8.61959	0.01944	0.00997	0.01996	0.02012	0.02395
chr1	166064577	166064587	-	9.71187	0.01836	0.03897	0.00955	0.01494	0.02138
chr1	167460773	167460783	-	8.29113	0.01907	0.01623	0.01582	0.01846	0.02657
chr1	168136183	168136193	+	8.90873	0.12146	0.24845	0.08794	0.07306	0.11083
chr1	169106350	169106360	-	7.81645	2.26418	2.11478	1.85363	2.10988	2.04441
chr1	169621459	169621469	-	7.86975	0.01691	0.0125	0.02139	0.02689	0.01954
chr1	169893760	169893770	+	8.15174	1.71011	1.53573	1.19725	1.33455	1.37751
chr1	171528430	171528440	-	8.06478	0.01113	0.02003	0.01503	0.01154	0.02317
chr1	177164263	177164273	+	8.06478	0.01361	0.0263	0.02114	0.02211	0.02785
chr1	178344613	178344623	-	8.03146	0.0973	0.20161	0.11354	0.10358	0.11096
chr1	179137833	179137843	+	7.81645	0.05799	0.04946	0.081	0.08638	0.06445
chr1	179576003	179576013	+	7.95585	0.01759	0.02137	0.01378	0.01926	0.02504
chr1	180229770	180229780	-	7.46801	0.08896	0.11839	0.06034	0.08498	0.0847
chr1	181318640	181318650	+	7.47664	0.02459	0.01285	0.01457	0.0179	0.01868
chr1	182817811	182817821	-	9.71187	0.01385	0.011	0.0181	0.01502	0.01268
chr1	182839180	182839190	-	8.06478	1.44162	1.6314	1.34859	1.37932	1.46511
chr1	184754655	184754665	-	8.38672	0.833	0.79272	0.6385	0.65855	0.87486
chr1	186579104	186579114	+	8.03146	0.03984	0.02169	0.03927	0.02597	0.04915
chr1	187027563	187027573	-	7.70952	0.01701	0.01675	0.01503	0.02005	0.02165
chr1	187850224	187850234	-	7.6497	0.02167	0.02177	0.02448	0.0348	0.03277
chr1	192136198	192136208	-	9.89356	0.01704	0.01076	0.01552	0.02072	0.02426
chr1	194058589	194058599	-	8.8018	0.0159	0.01833	0.01507	0.01212	0.01937
chr1	196292738	196292748	+	8.97485	0.01325	0.01284	0.00966	0.01025	0.01977
chr1	198621658	198621668	+	10.48169	0.04357	0.07748	0.09496	0.07968	0.03981
chr1	201376600	201376610	-	7.89121	0.02867	0.06394	0.0331	0.03236	0.0559
chr1	202153361	202153371	-	8.06478	0.03683	0.01553	0.02954	0.03659	0.03026
chr1	202161564	202161574	-	7.38191	0.03916	0.02598	0.0334	0.03334	0.02493
chr1	202250089	202250099	+	7.38191	0.05069	0.18576	0.04469	0.04936	0.11056
chr1	202807316	202807326	+	8.06478	0.22704	0.22644	0.16953	0.17554	0.19031
chr1	202888812	202888822	+	7.46801	2.03497	1.98865	2.11728	1.9213	2.05325
chr1	203046496	203046506	-	8.29113	0.04647	0.05054	0.03576	0.04518	0.10416
chr1	204573389	204573399	+	7.93587	0.66966	0.09442	0.85983	0.49978	0.59246
chr1	205529157	205529167	+	8.56029	0.62191	0.89522	0.56896	0.46628	0.55525
chr1	206723269	206723279	-	7.88258	0.07093	0.07699	0.07653	0.06847	0.04082
chr1	207884448	207884458	-	8.03146	0.05921	0.03972	0.07056	0.05793	0.06154
chr1	209704262	209704272	-	7.93587	0.0206	0.01405	0.01531	0.02307	0.01649
chr1	209784785	209784795	-	8.11756	0.49322	0.55157	0.45077	0.56469	0.39954
chr1	210232552	210232562	+	8.29113	0.14458	0.18818	0.15755	0.13194	0.15773
chr1	212243127	212243137	-	8.70569	0.05266	0.04179	0.02408	0.03228	0.03731
chr1	212609117	212609127	-	8.11756	0.23771	0.20969	0.19829	0.19474	0.22512
chr1	212791913	212791923	+	7.79647	1.19395	1.19725	0.89607	0.99008	0.97307
chr1	215484590	215484600	+	8.11756	0.03144	0.00565	0.01464	0.02344	0.02541
chr1	217238593	217238603	-	7.93587	0.01075	0.00801	0.01261	0.00834	0.00932
chr1	219928492	219928502	+	7.6497	0.02524	0.04636	0.03339	0.02742	0.0287
chr1	220236467	220236477	-	7.46801	0.02747	0.02306	0.0258	0.02466	0.03484
chr1	223116932	223116942	-	7.46801	0.03448	0.02445	0.02198	0.02572	0.0419
chr1	223255462	223255472	-	7.84977	0.01195	0.04778	0.01964	0.01568	0.02027
chr1	224004990	224005000	-	7.93587	0.03132	0.01998	0.04338	0.04074	0.02378
chr1	224356961	224356971	-	9.07044	0.24833	0.41619	0.33969	0.24965	0.27054
chr1	226485576	226485586	+	8.29113	0.12722	0.04279	0.09446	0.03459	0.03938
chr1	226895467	226895477	-	7.46801	0.01222	0.03352	0.02573	0.02759	0.01565
chr1	227132274	227132284	+	7.40189	0.02301	0.02965	0.02384	0.01818	0.01913
chr1	227901020	227901030	-	7.93587	0.03619	0.02104	0.06995	0.04026	0.04031
chr1	228405987	228405997	+	8.05143	0.19985	0.19212	0.15946	0.14153	0.15551
chr1	228487775	228487785	-	8.22501	0.15719	0.18983	0.11353	0.15763	0.11687
chr1	229856522	229856532	+	8.03146	0.01682	0.04005	0.04543	0.02638	0.01839
chr1	229985395	229985405	-	7.70952	0.0188	0.01164	0.01239	0.02482	0.01607
chr1	234600229	234600239	-	8.97485	2.09022	2.4965	1.7713	2.07192	2.0014
chr1	236065250	236065260	+	7.40189	0.12469	0.15697	0.10921	0.16808	0.15503
chr1	236686507	236686517	-	7.38054	0.0466	0.17924	0.04796	0.05004	0.04413
chr1	236821129	236821139	+	8.29113	0.02298	0.00903	0.01395	0.01795	0.0141
chr1	236893331	236893341	+	8.97485	0.03199	0.02716	0.03106	0.05256	0.03349
chr1	240611739	240611749	+	8.61959	0.01968	0.02625	0.01457	0.01372	0.0252
chr1	240762513	240762523	-	7.6497	0.01932	0.01851	0.02526	0.0178	0.02937
chr1	241855926	241855936	+	7.6497	0.01426	0.01348	0.01152	0.01775	0.02308
chr1	242051143	242051153	+	7.99866	0.01172	0.01021	0.01298	0.01391	0.00879
chr1	243850126	243850136	+	7.7295	0.14362	0.18249	0.13578	0.14943	0.16027
chr1	244105161	244105171	-	7.46801	0.03621	0.01503	0.01368	0.02593	0.0305
chr1	244970228	244970238	+	11.57397	0.68784	0.76917	0.59229	0.72801	0.62495
chr1	244970635	244970645	-	7.46801	1.30397	1.43786	1.08413	1.18469	1.10554
chr1	245673113	245673123	-	7.5636	0.01558	0.02759	0.04388	0.01809	0.02557
chr1	245673313	245673323	-	7.5636	0.02269	0.03581	0.11266	0.0272	0.03373
chr1	246110758	246110768	-	10.75085	0.04657	0.02305	0.05161	0.03337	0.03492
chr1	246710386	246710396	+	8.29113	0.05827	0.01885	0.03764	0.03142	0.02675
chr1	246971845	246971855	-	8.29113	0.01613	0.01949	0.0187	0.02333	0.01705
chr1	248874467	248874477	-	7.97868	0.2996	0.22115	0.26725	0.22738	0.28
chr10	10758	10768	+	9.24401	0	0	0	0	0
chr10	11396	11406	-	8.38672	0	0	0	0	0
chr10	387567	387577	+	7.7295	0.02059	0.03727	0.03252	0.02524	0.03725
chr10	580823	580833	+	7.97816	0.01987	0.03545	0.02923	0.036	0.03047
chr10	1248328	1248338	+	8.88875	0.01865	0.01849	0.02561	0.04563	0.02613
chr10	3242164	3242174	+	9.73185	0.01681	0.03042	0.01956	0.01901	0.01553
chr10	3785361	3785371	-	9.24401	1.99974	1.89926	1.89511	2.14382	1.88693
chr10	3808372	3808382	-	7.86975	0.05929	0.04635	0.04535	0.05067	0.05522
chr10	4200007	4200017	-	7.79647	0.01551	0.04517	0.02347	0.01637	0.02234
chr10	4903603	4903613	+	8.70569	0.0128	0.01972	0.01836	0.02161	0.01601
chr10	5009670	5009680	-	7.84977	0.01944	0.02485	0.01736	0.02211	0.02688
chr10	5943643	5943653	+	8.29113	0.07442	0.15869	0.08723	0.0902	0.10742
chr10	6121524	6121534	+	8.97485	0.77586	0.83201	0.80731	0.87682	0.78902
chr10	7405818	7405828	-	7.79562	0.04858	0.02737	0.03897	0.03566	0.06201
chr10	7561884	7561894	-	8.80128	0.0145	0.01651	0.01253	0.01587	0.01644
chr10	8036014	8036024	-	8.15174	0.03489	0.02035	0.02612	0.01985	0.03009
chr10	8405177	8405187	-	7.93587	0.02545	0.06023	0.01365	0.02088	0.02697
chr10	9273241	9273251	-	7.88258	0.01017	0.0121	0.00956	0.0154	0.01848
chr10	9897651	9897661	+	8.29113	0.0132	0.00846	0.00863	0.01062	0.01334
chr10	11018255	11018265	+	8.82178	0.01936	0.0284	0.01603	0.02718	0.06062
chr10	11799901	11799911	-	8.82178	0.01121	0.01147	0.00891	0.01024	0.01048
chr10	12406295	12406305	-	7.86975	0.01263	0.01221	0.01749	0.01688	0.02126
chr10	12549737	12549747	+	7.81645	0.01676	0.01687	0.02507	0.02057	0.01573
chr10	13587052	13587062	+	8.11756	0.19768	0.25931	0.20953	0.25349	0.29278
chr10	14197105	14197115	+	7.86975	0.06116	0.04649	0.04568	0.06025	0.07464
chr10	15032239	15032249	-	8.29113	0.00823	0.019	0.00876	0.00974	0.013
chr10	15370567	15370577	-	7.40189	0.05717	0.14612	0.0329	0.0385	0.07711
chr10	17722485	17722495	-	9.79797	0.02116	0.01294	0.01951	0.01657	0.01822
chr10	22601295	22601305	+	9.79797	0.02554	0.0264	0.03513	0.0266	0.03367
chr10	23192396	23192406	+	7.46801	0.0126	0.01839	0.01313	0.01412	0.02283
chr10	24723668	24723678	-	7.46801	0.05381	0.08389	0.05563	0.06247	0.07174
chr10	25175376	25175386	-	7.79562	0.02881	0.03708	0.02133	0.02218	0.02426
chr10	26392551	26392561	-	7.95585	0.01878	0.02043	0.01641	0.02649	0.021
chr10	28798266	28798276	-	8.70569	0.02078	0.03006	0.01581	0.01928	0.02758
chr10	29517636	29517646	+	9.79797	0.03524	0.02585	0.02824	0.02332	0.0346
chr10	29735789	29735799	-	8.29113	0.20617	0.30663	0.17734	0.24548	0.31568
chr10	29955357	29955367	+	7.79562	0.0329	0.0569	0.02718	0.03875	0.03456
chr10	31362299	31362309	+	7.99866	0.01765	0.01182	0.01806	0.01477	0.02678
chr10	31964528	31964538	+	8.61959	0.01276	0.02077	0.03412	0.02076	0.02069
chr10	32112155	32112165	+	8.20503	0.07962	0.20645	0.04633	0.07711	0.14429
chr10	33050593	33050603	+	8.90873	0.01373	0.01528	0.0209	0.01736	0.02078
chr10	33126957	33126967	+	7.46801	0.01386	0.02481	0.03455	0.03022	0.01917
chr10	34642138	34642148	-	7.38106	0.04598	0.04473	0.04758	0.04748	0.0349
chr10	35336917	35336927	-	8.97485	0.09603	0.14606	0.07627	0.08953	0.08411
chr10	35641466	35641476	+	7.38191	0.21088	0.25093	0.16864	0.1452	0.20038
chr10	38010990	38011000	-	8.63957	1.11837	1.28706	1.18462	1.28813	1.13163
chr10	42177172	42177182	-	7.46801	0.0149	0.01071	0.00942	0.00976	0.01472
chr10	42865921	42865931	+	7.81645	0.02899	0.02559	0.05081	0.02727	0.03456
chr10	42866409	42866419	+	8.16037	0.12686	0.145	0.22206	0.10942	0.13046
chr10	43077119	43077129	-	8.22501	0.14001	0.07693	0.1228	0.08747	0.11594
chr10	43341328	43341338	+	7.89121	0.02901	0.02244	0.01819	0.01684	0.03003
chr10	43409283	43409293	+	8.56029	1.83307	1.71003	1.90128	1.84666	1.78953
chr10	44310920	44310930	-	7.38191	0.05763	0.07354	0.06993	0.0894	0.09806
chr10	45373435	45373445	+	9.97966	0.0794	0.07279	0.05817	0.06727	0.09711
chr10	46523697	46523707	-	8.70569	0.07158	0.25854	0.09281	0.04473	0.10087
chr10	47384693	47384703	-	7.6497	0.18263	0.20063	0.13416	0.18696	0.18816
chr10	48466586	48466596	+	10.75085	0.03037	0.07342	0.04058	0.02355	0.08566
chr10	50624792	50624802	-	8.06478	0.39487	0.37748	0.46823	0.34435	0.40073
chr10	51074139	51074149	+	7.99866	0.05181	0.04503	0.07556	0.06505	0.07217
chr10	52952272	52952282	-	8.97485	0.01738	0.01687	0.02365	0.01738	0.02332
chr10	53924580	53924590	+	7.46801	0.017	0.0151	0.01542	0.01931	0.02005
chr10	55263971	55263981	-	7.97731	0.0148	0.01852	0.01592	0.01158	0.01842
chr10	56646488	56646498	-	8.06478	0.0106	0.00891	0.01109	0.0137	0.01262
chr10	58243975	58243985	+	7.40189	0.01781	0.01779	0.02178	0.0199	0.02214
chr10	58618648	58618658	+	7.86975	0.01578	0.0148	0.01302	0.02224	0.01679
chr10	59794560	59794570	+	9.71187	0.0175	0.02531	0.02943	0.02004	0.02776
chr10	60684285	60684295	-	8.22501	0.01534	0.01354	0.03131	0.01474	0.02124
chr10	60943642	60943652	+	8.22501	0.25365	0.22464	0.21973	0.24831	0.2598
chr10	63502503	63502513	+	8.06478	0.02406	0.28751	0.02259	0.02066	0.05279
chr10	68827730	68827740	-	8.38672	0.10741	0.07607	0.06397	0.08411	0.08675
chr10	69402133	69402143	+	7.97868	0.03305	0.01807	0.03044	0.02074	0.01565
chr10	69452735	69452745	-	7.46801	0.12371	0.02233	0.12725	0.06555	0.06465
chr10	72233093	72233103	-	7.70952	0.02223	0.05627	0.02544	0.01923	0.01869
chr10	77290689	77290699	+	7.93587	0.01292	0.02598	0.01307	0.00915	0.01737
chr10	77374230	77374240	+	8.8879	0.04986	0.01459	0.03155	0.03574	0.02802
chr10	77711661	77711671	+	8.56029	0.18729	0.23443	0.14595	0.16209	0.24823
chr10	79022702	79022712	-	7.95585	0.02742	0.14977	0.03901	0.08764	0.02976
chr10	79299827	79299837	+	7.46801	0.03962	0.03546	0.0547	0.03899	0.04088
chr10	79905001	79905011	-	8.20366	0.07079	0.04569	0.05012	0.03478	0.04697
chr10	80896246	80896256	-	7.70952	0.01759	0.00746	0.0244	0.01389	0.02397
chr10	84195679	84195689	-	7.6497	0.0156	0.01459	0.03669	0.01504	0.02035
chr10	86652436	86652446	-	8.8879	0.01244	0.01411	0.0225	0.01703	0.01632
chr10	87818508	87818518	+	9.65858	0.13317	0.13743	0.10873	0.11143	0.11681
chr10	89096420	89096430	+	7.88258	0.01284	0.00975	0.01799	0.01403	0.0168
