TFBS_chr	TFBS_start	TFBS_end	TFBS_strand	TFBS_score	98JKPD8_LumA_score	ANAB5F7_Basal_score	S6R691V_Her2_score	PU24GB8_LumB_score	2GAMBDQ_Normal-like_score
chr1	9449364	9449375	+	8.64986	0.04769	0.06739	0.05719	0.0615	0.06319
chr1	9460258	9460269	+	8.201	0.02145	0.09001	0.05116	0.02458	0.03423
chr1	9539987	9539998	-	7.37227	0.15838	0.07899	0.12922	0.13677	0.09078
chr1	9681649	9681660	-	7.42704	0.02153	0.04304	0.03327	0.02235	0.02493
chr1	9823913	9823924	-	7.42704	0.29142	0.23194	0.27919	0.27123	0.25423
chr1	9835565	9835576	+	7.35972	0.04317	0.04989	0.0498	0.02992	0.02513
chr1	9869904	9869915	+	8.61636	0.01799	0.04089	0.01799	0.017	0.01817
chr1	9943158	9943169	-	7.37815	0.43409	0.35286	0.41373	0.42681	0.32599
chr1	10399735	10399746	-	7.54626	0.08777	0.0845	0.07134	0.0848	0.08099
chr1	10695569	10695580	-	7.20711	0.20474	0.19097	0.17319	0.18704	0.18355
chr1	10767504	10767515	+	7.83757	0.03705	0.04749	0.05564	0.05172	0.03719
chr1	10774826	10774837	-	7.24876	0.13578	0.12342	0.07941	0.10557	0.10833
chr1	10815738	10815749	+	7.40237	0.16918	0.04815	0.08679	0.08034	0.13641
chr1	10943073	10943084	+	7.80828	0.02022	0.02588	0.02215	0.02169	0.01786
chr1	10965490	10965501	+	7.27297	0.02018	0.03819	0.02784	0.01953	0.02615
chr1	11463259	11463270	-	7.20711	0.17352	0.12598	0.13589	0.07321	0.13022
chr1	11644593	11644604	-	9.64611	0.01658	0.03365	0.01785	0.02173	0.01974
chr1	11650249	11650260	-	7.76457	0.04571	0.06887	0.06386	0.04909	0.03791
chr1	11672642	11672653	+	7.77479	0.01707	0.0198	0.02475	0.0254	0.02155
chr1	11762198	11762209	-	8.64986	0.06262	0.1101	0.09107	0.13942	0.05718
chr1	11779123	11779134	-	7.42334	0.02233	0.01318	0.01783	0.01388	0.01902
chr1	11898547	11898558	+	8.13696	0.02121	0.01699	0.0175	0.02028	0.02503
chr1	12008459	12008470	+	7.62863	0.01688	0.02158	0.01824	0.01793	0.01617
chr1	12143811	12143822	+	7.57976	0.32145	0.29083	0.38693	0.36827	0.25727
chr1	12595907	12595918	-	8.64986	0.82587	0.44829	0.61412	0.79187	0.82015
chr1	12619917	12619928	-	7.39406	0.28369	0.37115	0.24678	0.30359	0.30458
chr1	12692916	12692927	-	8.55498	0.01041	0.01759	0.00637	0.00966	0.01527
chr1	12715098	12715109	+	7.39762	0.0082	0.00805	0.00684	0.00936	0.01207
chr1	13749695	13749706	-	8.64986	0.1795	0.16548	0.185	0.21508	0.14205
chr1	13801746	13801757	+	8.34336	0.36112	0.23614	0.28	0.24044	0.28406
chr1	13906951	13906962	-	10.15443	0.02594	0.00634	0.00756	0.01202	0.02674
chr1	14173655	14173666	-	8.201	0.01048	0.00758	0.01014	0.01129	0.01238
chr1	14392457	14392468	+	7.40237	0.0154	0.0099	0.02522	0.01264	0.02377
chr1	14426726	14426737	-	7.29164	0.06226	0.01384	0.05077	0.05116	0.07305
chr1	14760187	14760198	-	7.20536	0.01011	0.00838	0.00609	0.01035	0.01386
chr1	14884917	14884928	+	7.36299	0.02272	0.01012	0.01421	0.01558	0.02108
chr1	14911557	14911568	+	7.21498	0.16156	0.2424	0.17357	0.10694	0.34934
chr1	15138144	15138155	-	7.20536	0.01838	0.03596	0.02582	0.01986	0.02583
chr1	15153986	15153997	-	10.09967	0.17265	0.12404	0.12294	0.15067	0.13632
chr1	15247289	15247300	+	7.85168	0.18048	0.15813	0.14432	0.19429	0.23701
chr1	15526964	15526975	-	7.39474	0.48329	0.33338	0.36732	0.37305	0.27263
chr1	15616185	15616196	-	7.48999	0.10186	0.04326	0.0961	0.09477	0.0516
chr1	15727152	15727163	+	7.66063	0.01988	0.02088	0.02091	0.01837	0.0226
chr1	15742817	15742828	-	8.64986	0.02012	0.02657	0.01883	0.03675	0.02846
chr1	15800060	15800071	-	7.39406	0.10267	0.06682	0.12036	0.09799	0.07876
chr1	15919519	15919530	+	7.27297	0.03446	0.06677	0.058	0.04729	0.06781
chr1	16027074	16027085	-	7.83883	0.01815	0.01633	0.02574	0.044	0.02614
chr1	16037084	16037095	-	10.42007	0.02173	0.01654	0.02383	0.02127	0.03048
chr1	16062142	16062153	+	7.1922	0.01761	0.01725	0.01987	0.01885	0.02117
chr1	16079098	16079109	-	7.54006	0.22782	0.24918	0.18728	0.25158	0.24994
chr1	16167563	16167574	+	7.45158	0.16433	0.16132	0.11181	0.19634	0.24889
chr1	16206501	16206512	+	9.14657	0.55677	0.75599	0.65298	0.85101	0.78628
chr1	16206596	16206607	-	8.20688	0.84339	1.02617	0.94016	1.16846	1.10417
chr1	16535685	16535696	+	7.90644	0.0321	0.0264	0.03981	0.03574	0.04124
chr1	16631504	16631515	-	9.61556	0.06358	0.06159	0.07426	0.07127	0.06901
chr1	16644367	16644378	-	7.62863	0.34289	0.35146	0.30306	0.32571	0.3361
chr1	16644805	16644816	-	7.23737	0.79646	0.73396	0.58899	0.69211	0.77324
chr1	16707729	16707740	+	8.64986	0.16099	0.22979	0.23858	0.42383	0.21266
chr1	16872236	16872247	-	7.90644	0.04618	0.02703	0.03033	0.04761	0.04537
chr1	16872834	16872845	+	7.24876	0.06919	0.04184	0.06327	0.0723	0.07708
chr1	16914053	16914064	-	7.18386	1.68074	1.71113	1.47203	1.75851	1.7255
chr1	16914066	16914077	+	7.23765	1.63451	1.63275	1.39957	1.55333	1.49771
chr1	16914127	16914138	+	7.57976	1.66235	1.56727	1.2659	1.37143	1.37907
chr1	16948348	16948359	+	8.07748	0.1292	0.13609	0.14307	0.10138	0.12132
chr1	16980367	16980378	-	8.13696	0.01972	0.04081	0.02405	0.02513	0.02615
chr1	16986330	16986341	+	7.42704	0.01992	0.04546	0.03145	0.02496	0.01866
chr1	17010891	17010902	+	7.63008	0.08669	0.14316	0.10047	0.09871	0.09335
chr1	17192551	17192562	-	7.47562	0.0117	0.03456	0.03973	0.01866	0.02057
chr1	17258809	17258820	-	7.20536	0.01279	0.00995	0.01592	0.01253	0.0209
chr1	17292480	17292491	-	7.27297	0.04181	0.03236	0.08904	0.06118	0.03855
chr1	17353098	17353109	+	7.63271	0.00777	0.00997	0.00793	0.00656	0.01124
chr1	17428035	17428046	+	8.26396	0.05987	0.06594	0.05867	0.06105	0.07906
chr1	17531880	17531891	-	8.201	0.09485	0.37752	0.07457	0.12463	0.1206
chr1	17539716	17539727	+	7.70001	0.134	0.09017	0.092	0.10416	0.13331
chr1	17582228	17582239	-	7.76457	0.21263	0.06941	0.13447	0.26105	0.22338
chr1	17595736	17595747	+	7.78678	0.01836	0.0213	0.01978	0.03409	0.02402
chr1	18104997	18105008	-	7.26921	0.02121	0.01283	0.01757	0.01416	0.01638
chr1	18326026	18326037	-	7.78678	0.12444	0.01936	0.08473	0.09789	0.07858
chr1	18643829	18643840	+	8.64986	0.01546	0.02558	0.02667	0.01245	0.02614
chr1	18693649	18693660	+	7.81185	0.01166	0.01185	0.00809	0.01428	0.01313
chr1	18693725	18693736	-	7.29164	0.01367	0.01717	0.0113	0.01497	0.0167
chr1	18902476	18902487	+	8.36503	0.25798	0.25999	0.3289	0.29054	0.27471
chr1	18926880	18926891	-	7.25814	0.06563	0.09944	0.09825	0.07932	0.08103
chr1	19028450	19028461	-	7.20536	0.02415	0.04014	0.02071	0.04239	0.02608
chr1	19046062	19046073	+	8.34105	0.02477	0.12716	0.03406	0.02037	0.03099
chr1	19066706	19066717	-	7.75186	0.01934	0.0797	0.02073	0.02311	0.04268
chr1	19139945	19139956	+	8.55498	0.01027	0.01502	0.01134	0.0137	0.0164
chr1	19400353	19400364	-	7.83757	0.02792	0.02701	0.02025	0.0193	0.02624
chr1	20111267	20111278	+	9.58433	0.02022	0.01942	0.00959	0.01908	0.01456
chr1	20319708	20319719	-	8.56098	0.02944	0.01307	0.02207	0.02211	0.0333
chr1	20486233	20486244	+	7.87915	0.56812	0.17933	0.36242	0.37665	0.36761
chr1	20589092	20589103	-	8.64908	0.02111	0.07288	0.03502	0.02704	0.0306
chr1	20683108	20683119	+	9.87382	0.02226	0.01359	0.01841	0.01829	0.01448
chr1	20684776	20684787	-	7.75186	0.01912	0.0138	0.01853	0.01818	0.01562
chr1	21228076	21228087	+	8.58581	0.01448	0.02085	0.02671	0.02105	0.02416
chr1	21345682	21345693	+	7.40088	0.70474	0.5916	0.5228	0.70503	0.66884
chr1	21428083	21428094	+	7.32219	0.03791	0.03036	0.02084	0.03757	0.02977
chr1	21428126	21428137	+	8.13696	0.02596	0.02757	0.02218	0.03027	0.03047
chr1	21509695	21509706	-	7.72508	0.03897	0.03445	0.02781	0.04347	0.06417
chr1	21597892	21597903	-	7.20711	0.02183	0.02216	0.02273	0.02412	0.02323
chr1	21619033	21619044	+	10.48557	0.0264	0.04674	0.02148	0.02186	0.01935
chr1	21783248	21783259	-	8.26396	1.85264	1.50726	1.50241	1.78727	1.60701
chr1	21957171	21957182	-	10.9284	0.43889	0.41537	0.38804	0.33926	0.39376
chr1	22197817	22197828	-	7.70053	0.03099	0.00613	0.01319	0.02104	0.01093
chr1	22316077	22316088	-	8.23155	0.01476	0.01487	0.01121	0.01895	0.01505
chr1	22341878	22341889	+	9.88265	0.01262	0.00668	0.00854	0.00889	0.01637
chr1	22348311	22348322	+	8.52443	0.0475	0.00663	0.02155	0.02693	0.03682
chr1	22808432	22808443	-	7.57976	0.05591	0.09644	0.07422	0.0399	0.05445
chr1	23168149	23168160	-	8.201	0.08881	0.09078	0.08012	0.09444	0.08406
chr1	23503830	23503841	-	7.29869	0.01758	0.02888	0.01806	0.01392	0.02719
chr1	23548940	23548951	+	8.23563	0.03131	0.02847	0.02859	0.03947	0.0406
chr1	23619557	23619568	-	7.20711	0.0662	0.04082	0.06219	0.06368	0.05421
chr1	24032322	24032333	+	7.29869	0.02303	0.03908	0.01738	0.02589	0.02241
chr1	24120973	24120984	+	7.18525	0.02468	0.03268	0.017	0.02226	0.01763
chr1	24189784	24189795	-	8.201	0.03545	0.03494	0.04109	0.0607	0.02972
chr1	24535110	24535121	+	9.32425	0.03345	0.03921	0.07197	0.04795	0.0212
chr1	24598151	24598162	-	9.9753	0.03729	0.03208	0.10088	0.08504	0.05081
chr1	24861845	24861856	+	7.2799	0.02911	0.03825	0.0243	0.02311	0.02469
chr1	24876352	24876363	+	8.201	0.02375	0.028	0.01598	0.02063	0.01493
chr1	24897003	24897014	+	7.40922	0.01616	0.04639	0.03554	0.01826	0.02009
chr1	24902030	24902041	-	9.93786	0.02398	0.03101	0.02189	0.02139	0.02081
chr1	25544097	25544108	-	8.04694	0.13061	0.08248	0.08044	0.0965	0.09498
chr1	25557284	25557295	+	7.62863	0.05262	0.0574	0.0518	0.03703	0.07668
chr1	25617016	25617027	+	8.61636	0.09739	0.04706	0.0676	0.08339	0.06147
chr1	26035717	26035728	-	8.85024	0.47117	0.42023	0.34727	0.37693	0.36737
chr1	26079342	26079353	-	9.09986	0.02827	0.01329	0.02489	0.02297	0.02448
chr1	26147877	26147888	+	7.42704	0.01954	0.01422	0.01679	0.02473	0.02028
chr1	26234047	26234058	+	7.2863	1.91892	1.78167	1.59389	1.84746	1.69624
chr1	26315591	26315602	-	8.201	0.02137	0.04777	0.04799	0.05513	0.02065
chr1	26360585	26360596	-	8.39335	0.02804	0.03986	0.03409	0.02305	0.05159
chr1	26396717	26396728	+	9.96505	0.0144	0.01108	0.01364	0.01079	0.01579
chr1	26472734	26472745	-	7.87915	0.4327	0.49331	0.53197	0.44471	0.39452
chr1	26692636	26692647	+	10.51612	0.54517	0.51106	0.4801	0.47052	0.37462
chr1	26890342	26890353	+	7.72467	0.57777	0.49638	0.42603	0.51377	0.47443
chr1	27154955	27154966	+	9.99855	0.17793	0.1278	0.13757	0.15961	0.12692
chr1	27163992	27164003	-	7.48999	0.02829	0.01504	0.0257	0.021	0.0258
chr1	27557424	27557435	-	8.13696	0.54332	0.58426	0.4038	0.50504	0.63059
chr1	27914562	27914573	-	9.6767	0.9281	0.96279	0.7975	0.87214	0.86295
chr1	28315806	28315817	-	10.38952	0.0468	0.06144	0.09484	0.09538	0.09253
chr1	28592759	28592770	+	8.328	0.0359	0.03993	0.02634	0.03281	0.04634
chr1	28747657	28747668	-	7.27297	0.00997	0.0281	0.01714	0.0156	0.01765
chr1	28887015	28887026	-	8.201	0.82873	0.86708	0.72928	0.87183	0.81511
chr1	29649782	29649793	-	9.89663	0.02206	0.01896	0.02305	0.03163	0.02464
chr1	29901862	29901873	+	7.80828	0.02328	0.02011	0.00859	0.01806	0.03746
chr1	30379048	30379059	+	8.50622	0.02341	0.01803	0.02301	0.02371	0.01576
chr1	30451768	30451779	+	8.20688	0.01927	0.03094	0.0244	0.02794	0.02781
chr1	31330475	31330486	+	7.42238	0.02094	0.00683	0.01097	0.01876	0.01683
chr1	31511690	31511701	-	9.20134	0.09135	0.03053	0.11005	0.08855	0.07708
chr1	31614925	31614936	-	7.26791	0.02898	0.02935	0.02689	0.03109	0.04806
chr1	31690326	31690337	-	7.83883	0.03417	0.0217	0.03425	0.02363	0.02966
chr1	31704386	31704397	+	8.201	0.07504	0.05751	0.04881	0.06102	0.09516
chr1	31704555	31704566	+	7.77479	0.10728	0.10064	0.07005	0.09699	0.14786
chr1	32073229	32073240	+	7.76211	1.34684	1.62014	1.36831	1.42357	1.26564
chr1	32394556	32394567	-	7.43291	2.09875	1.82298	2.07269	2.18382	2.11611
chr1	32702626	32702637	-	7.72467	0.12225	0.0574	0.0657	0.08492	0.09015
chr1	32702887	32702898	+	7.83883	0.09975	0.09681	0.09212	0.13563	0.15853
chr1	33151802	33151813	-	7.42334	0.04438	0.02195	0.04143	0.03391	0.05768
chr1	33256445	33256456	-	8.07894	0.07504	0.06375	0.0451	0.06044	0.09319
chr1	33661109	33661120	-	7.26921	0.05813	0.01191	0.02896	0.0381	0.02178
chr1	34165318	34165329	+	8.64986	0.02712	0.03501	0.02544	0.0182	0.03118
chr1	34370192	34370203	+	7.30352	0.01125	0.00786	0.00569	0.00835	0.00878
chr1	34781221	34781232	-	9.12735	0.03441	0.09673	0.04513	0.03869	0.0576
chr1	34781982	34781993	+	8.37686	0.03207	0.05931	0.02528	0.01935	0.05206
chr1	34929434	34929445	-	7.37227	0.02696	0.01953	0.01404	0.01956	0.02638
chr1	36125685	36125696	+	7.30352	0.05976	0.07546	0.0369	0.0665	0.05957
chr1	36156755	36156766	-	7.78678	0.12806	0.11769	0.12891	0.1558	0.11833
chr1	36306915	36306926	+	8.23155	0.53438	0.61549	0.66923	0.59802	0.71867
chr1	36323274	36323285	+	7.75708	0.30591	0.14407	0.18377	0.22282	0.22453
chr1	36323333	36323344	+	7.76457	0.29126	0.15506	0.17555	0.2228	0.23125
chr1	36576263	36576274	+	7.25814	0.08135	0.05585	0.0597	0.06589	0.08449
chr1	36654142	36654153	+	7.50685	0.02704	0.1529	0.01576	0.03328	0.11085
chr1	37063474	37063485	+	7.46167	0.01786	0.0064	0.01246	0.01168	0.02046
chr1	37661200	37661211	-	7.81185	0.01505	0.04684	0.01077	0.0161	0.01953
chr1	37663780	37663791	-	7.35035	0.01523	0.01415	0.01116	0.01609	0.01929
chr1	37764709	37764720	-	7.78763	0.01144	0.00801	0.00911	0.01204	0.01168
chr1	37932143	37932154	-	7.31086	0.118	0.13012	0.09471	0.10193	0.10385
chr1	38047375	38047386	-	7.24553	0.17969	0.11678	0.13045	0.14719	0.22783
chr1	38559845	38559856	+	7.29164	0.02862	0.02872	0.02785	0.02653	0.03809
chr1	38578829	38578840	+	8.6804	0.01694	0.01104	0.01002	0.00899	0.0199
chr1	39081587	39081598	+	7.37867	0.04687	0.04683	0.03113	0.04215	0.05006
chr1	39081896	39081907	-	7.83757	0.03977	0.05406	0.0562	0.05312	0.07952
chr1	39177410	39177421	-	7.48739	0.02594	0.01871	0.01687	0.03437	0.02496
